d_loss,epoch,g_loss,gradient_penalty,sparsity_penalty,step,val_d_loss,val_g_loss
0.46588119864463806,39,1.3971058130264282,0.6919446587562561,0.0056529478169977665,12199,,
,40,,,,12504,0.3887161314487457,1.3097991943359375
0.46431219577789307,40,1.405281662940979,0.6907025575637817,0.005655804183334112,12504,,
,41,,,,12809,0.380967378616333,1.304298996925354
0.46380728483200073,41,1.406387209892273,0.6907476782798767,0.005658420268446207,12809,,
,42,,,,13114,0.3735278844833374,1.3793660402297974
0.4629998207092285,42,1.4102210998535156,0.690717339515686,0.005657612346112728,13114,,
,43,,,,13419,0.36990368366241455,1.3045519590377808
0.4627884030342102,43,1.4149795770645142,0.6924430131912231,0.005662590730935335,13419,,
,44,,,,13724,0.3645012080669403,1.4141311645507812
0.4623493552207947,44,1.4102590084075928,0.6921863555908203,0.005665753502398729,13724,,
,45,,,,14029,0.37518349289894104,1.315922498703003
